Name,Value,zh(中文),en(英语),zh_tw(台湾),zh_tw(香港),,
newHintPassword,newHintPassword,输入新密码,Enter new password,輸入新密碼,輸入新密碼,,
okNewPassword,okNewPassword,确认新密码,Confirm new password,確認新密碼,確認新密碼,,
okNewHintPassword,okNewHintPassword,再次输入新密码,Enter the new password again,再次輸入新密碼,再次輸入新密碼,,
passwordChangeSuccess,passwordChangeSuccess,修改成功,Change successful,修改成功,修改成功,,
inputOkToAddress,inputOkToAddress,请输入正确的接收地址,Please enter the correct to address,請輸入正確的接收地址,請輸入正確的接收地址,,
balanceNot,balanceNot,余额不足,Insufficient balance,餘額不足,餘額不足,,
broadcastSending,broadcastSending,发送中，请稍等…,"Sending, please wait...",發送中，請稍等…,發送中，請稍等…,,
broadcastSuccess,broadcastSuccess,发送成功,Send successfully,發送成功,發送成功,,
broadcastError,broadcastError,发送失败,Sending failed,發送失敗,發送失敗,,
broadcastReset,broadcastReset,重试,Retry,重試,重試,,
stringBack,stringBack,返回,Back,返回,返回,,
stringSendOneself,stringSendOneself,转给自己,Send to yourself,轉給自己,轉給自己,,
stringAddress,stringAddress,地址,Address,地址,地址,,
storageAccessNotEnabled,storageAccessNotEnabled,未开启存储权限,Storage access disabled,未開啟存儲許可權,未開啟存儲許可權,,
cameraAccessNotEnabled,cameraAccessNotEnabled,相机权限未开启,Camera access disabled,相機許可權未開啟,相機許可權未開啟,,
contactPerson,contactPerson,联系人,Contact person,聯絡人,聯絡人,,
stringaddress,stringaddress,地址,address,地址,地址,,
insertaddress,insertaddress,输入地址,Enter address,輸入地址,輸入地址,,
addressTag,addressTag,联系人名称,Name,連絡人名稱,連絡人名稱,,
addAddress,addAddress,添加联系人,Add address,添加連絡人,添加連絡人,,
usernameEditor,usernameEditor,修改昵称,Modify Nickname,修改昵稱,修改昵稱,,
accountback,accountback,退出账号,Logout,退出,退出,,
bindEmail,bindEmail,绑定邮箱,Bind Email,綁定郵箱,綁定郵箱,,
stringonlineservice,stringonlineservice,联系客服,Online Service,聯繫客服,聯繫客服,,
stringuserfeedback,stringuserfeedback,反馈意见,Feed back,回饋意見,回饋意見,,
stringhelpqq,stringhelpqq,官方QQ,QQ,官方QQ,官方QQ,,
stringhelpwechat,stringhelpwechat,官方微信,Wechat,官方微信,官方微信,,
stringhelptel,stringhelptel,客服电话,phone,客服電話,客服電話,,
feedbackname,feedbackname,您的称呼,Your name,您的稱呼,您的稱呼,,
feedbackcontext,feedbackcontext,"您要反馈的内容,不超过300字",Please keep your feedbacks less than 300 words,"您要回饋的內容,不超過300字","您要回饋的內容,不超過300字",,
feedbackmode,feedbackmode,您的联系方式(QQ、微信号、电话号码等),Your phone or email,您的聯繫方式(QQ、微信號、電話號碼等),您的聯繫方式(QQ、微信號、電話號碼等),,
submitfeedback,submitfeedback,提交反馈,Submit,提交回饋,提交回饋,,
feenotegasprice,feenotegasprice,当前最佳矿工费,The current best miner rate,當前最佳礦工費,當前最佳礦工費,,
makeqr,makeqr,生成二维码,Generate QR Code,生成二維碼,生成二維碼,,
textcontent,textcontent,输入文本内容,text content,輸入文本內容,輸入文本內容,,
contentText,contentText,内容,Content text,內容,內容,,
timesync,timesync,同步时间,Sycn Time,同步時間,同步時間,,
afterRefresh,afterRefresh,秒后刷新,Refresh after seconds,秒後刷新,秒後刷新,,
